vilref,new_km_N,new_km_E,lr_pop
25-340-7605,71.79571598161357,618.7822859515452,377
25-340-12786,65.7768028819355,605.5444992143003,492
25-340-20150,70.51203883314739,627.1006525249877,563
25-340-11705,74.19614914278131,596.7466623315112,803
25-340-26700,67.10613823001049,639.9314457141711,1
25-340-35543,71.96535652440558,625.6932114644757,260
25-340-14189,83.08384843446657,598.2244951821419,1066
25-340-4422,57.09692690811342,632.9426877491668,590
25-340-1483,55.630821800353225,602.7676278758211,315
25-340-34422,80.72195699762133,603.2952331567916,459
25-340-10415,62.320335261009724,623.7224632822031,748
25-340-5353,73.35962970955623,634.4778922934299,37
25-340-5138,54.7412623872174,614.3471541678048,410
25-340-11892,63.87892787404266,594.9936179230783,771
25-340-35498,70.63768910022934,587.2508951051879,916
25-340-5310,57.14785418454892,613.1456102547969,436
25-340-21284,63.722162969860754,618.6637577644271,609
25-340-18642,57.387701641351676,605.0274316260761,440
25-340-5305,66.27362181425293,636.6649870436434,164
25-340-34129,88.5378483915132,615.9817316633987,1796
25-340-36796,70.60229247067524,617.6855851103898,620
25-340-53010,68.12548268963477,625.7533064329332,429
25-339-4822,34.020754976545675,599.4326459379994,808
25-339-52524,41.988514280817746,606.1483942127932,7
25-339-23012,35.13759681968813,601.6536963241507,775
25-339-13196,28.904565206624905,607.8520391558085,626
25-339-13075,35.37344125908653,617.2770410793746,790
25-339-18776,36.98899234831308,618.7120569829057,344
25-339-36043,43.098908838537994,611.1208696116673,1097
25-339-38491,46.656728800938055,608.01408380271,465
25-339-44995,40.84189655642606,600.8523545438246,1158
25-339-16385,32.043042011170385,607.1896470949893,64
25-339-28716,38.42007105415564,604.4065697103812,1043
25-339-36574,29.010756361780807,608.1559049992761,2667
25-339-30040,27.915486334136585,606.2346124468747,369
25-339-36044,43.287639724777755,610.6291078629478,205
25-339-31992,38.33111511295011,602.2262057095875,255
25-339-37959,40.56819458137667,607.7524233575272,902
25-339-33820,35.86036384288076,606.8770591481239,604
